feature,importance
washitsu__sound_amp_pir,0.0
sleeping_room__Number of People__diff60s__r5s,0.0
washitsu__scd40_temp__r15m,0.0
washitsu__scd40_co2__r15m,0.0
washitsu__sound_trig_door__r15m,0.0
washitsu__sound_amp_door__r15m,0.0
washitsu__door__r15m,0.0
washitsu__mic_occupied__r15m,0.0
washitsu__sound_amp_pir__r15m,0.0
is_occ_living__diff60s__r5s,0.0
is_occ_sleeping_room__diff60s__r5s,0.0
is_occ_washitsu__diff60s__r5s,0.0
sleeping_room__Occupied__diff60s__r5s,0.0
living__sen55_temp__r15m,0.0
sleeping_room__pir2__diff60s__r5s,0.0
sleeping_room__sound_trig_door__diff60s__r5s,0.0
sleeping_room__sound_amp_door__diff60s__r5s,0.0
sleeping_room__door__diff60s__r5s,0.0
sleeping_room__sen55_nox__diff60s__r5s,0.0
sleeping_room__sen55_voc__diff60s__r5s,0.0
sleeping_room__sen55_hum__diff60s__r5s,0.0
sleeping_room__sen55_temp__diff60s__r5s,0.0
sleeping_room__sen55_pm10__diff60s__r5s,0.0
sleeping_room__sen55_pm4__diff60s__r5s,0.0
washitsu__scd40_hum__r15m,0.0
washitsu__sen55_pm1__r15m,0.0
washitsu__sen55_pm2_5__r15m,0.0
washitsu__sen55_pm4__r15m,0.0
living__sen55_pm4__r15m,0.0
living__sen55_pm2_5__r15m,0.0
living__sen55_pm1__r15m,0.0
living__scd40_hum__r15m,0.0
living__scd40_temp__r15m,0.0
living__scd40_co2__r15m,0.0
living__lux(Living3)__r15m,0.0
living__humidity(Living3)__r15m,0.0
living__temperature(Living3)__r15m,0.0
living__co2(Living3)__r15m,0.0
living__lux(Living2)__r15m,0.0
living__humidity(Living2)__r15m,0.0
living__temperature(Living2)__r15m,0.0
living__co2(Living2)__r15m,0.0
washitsu__Number of People__r15m,0.0
washitsu__Occupied__r15m,0.0
washitsu__sen55_nox__r15m,0.0
washitsu__sen55_voc__r15m,0.0
washitsu__sen55_hum__r15m,0.0
washitsu__sen55_temp__r15m,0.0
washitsu__sen55_pm10__r15m,0.0
sleeping_room__sen55_pm2_5__diff60s__r5s,0.0
sleeping_room__sen55_pm1__diff60s__r5s,0.0
sleeping_room__scd40_hum__diff60s__r5s,0.0
living__sen55_nox__diff60s__r5s,0.0
living__sen55_hum__diff60s__r5s,0.0
living__sen55_temp__diff60s__r5s,0.0
living__sen55_pm10__diff60s__r5s,0.0
living__sen55_pm4__diff60s__r5s,0.0
living__sen55_pm2_5__diff60s__r5s,0.0
living__sen55_pm1__diff60s__r5s,0.0
living__scd40_hum__diff60s__r5s,0.0
living__scd40_temp__diff60s__r5s,0.0
living__scd40_co2__diff60s__r5s,0.0
living__lux(Living3)__diff60s__r5s,0.0
living__humidity(Living3)__diff60s__r5s,0.0
living__temperature(Living3)__diff60s__r5s,0.0
living__co2(Living3)__diff60s__r5s,0.0
living__lux(Living2)__diff60s__r5s,0.0
living__humidity(Living2)__diff60s__r5s,0.0
living__temperature(Living2)__diff60s__r5s,0.0
living__co2(Living2)__diff60s__r5s,0.0
washitsu__Number of People__diff60s__r5s,0.0
washitsu__Occupied__diff60s__r5s,0.0
washitsu__thermal-1__diff60s__r5s,0.0
washitsu__sen55_nox__diff60s__r5s,0.0
living__sen55_voc__diff60s__r5s,0.0
living__door__diff60s__r5s,0.0
sleeping_room__scd40_temp__diff60s__r5s,0.0
living__sound_amp_door__diff60s__r5s,0.0
