timestamp,PIR,co2(sensors_sensors1),temperature(sensors_sensors1),humidity(sensors_sensors1),lux(sensors_sensors1),co2(sensors_sensors2),temperature(sensors_sensors2),humidity(sensors_sensors2),lux(sensors_sensors2),co2(sensors_sensors3),temperature(sensors_sensors3),humidity(sensors_sensors3),lux(sensors_sensors3),co2(sensors_sensors4),temperature(sensors_sensors4),humidity(sensors_sensors4),lux(sensors_sensors4)
2025-08-06 20:16:11,True,,,,,,,,,814,23.21622,62.13321,64.16666,,,,
2025-08-06 20:16:11,True,738,20.03319,70.4921,154.1667,,,,,,,,,,,,
2025-08-06 20:16:12,True,737,20.03853,70.58366,153.3333,,,,,,,,,,,,
2025-08-06 20:16:12,True,,,,,,,,,,,,,770,19.05585,75.3872,137.5
2025-08-06 20:16:13,True,,,,,814,24.04135,59.81079,119.1667,,,,,,,,
2025-08-06 20:16:15,False,,,,,,,,,814,23.17883,62.15152,64.16666,,,,
2025-08-06 20:16:19,True,,,,,,,,,,,,,770,19.04517,75.44823,138.3333
2025-08-06 20:16:21,False,738,20.05188,70.5745,153.3333,,,,,,,,,,,,
2025-08-06 20:16:26,False,,,,,814,24.028,59.87182,119.1667,,,,,,,,
2025-08-06 20:16:26,False,,,,,,,,,,,,,770,19.05318,75.48333,138.3333
2025-08-06 20:16:26,False,738,20.02518,70.60502,154.1667,,,,,,,,,,,,
2025-08-06 20:16:26,False,,,,,,,,,814,23.16815,62.2446,64.16666,,,,
2025-08-06 20:16:26,False,,,,,,,,,815,23.17349,62.29496,64.16666,,,,
2025-08-06 20:16:28,False,738,20.03319,70.69657,154.1667,,,,,,,,,,,,
2025-08-06 20:16:28,False,,,,,815,24.02533,59.88098,119.1667,,,,,,,,
2025-08-06 20:16:29,False,,,,,,,,,,,,,770,19.03448,75.55657,137.5
2025-08-06 20:16:30,False,,,,,815,24.00664,59.9588,119.1667,,,,,,,,
2025-08-06 20:16:35,False,,,,,,,,,,,,,771,19.04784,75.59167,137.5
2025-08-06 20:16:42,False,,,,,815,24.01465,59.96033,118.3333,,,,,,,,
2025-08-06 20:16:42,False,,,,,,,,,,,,,770,19.05852,75.62676,137.5
2025-08-06 20:16:42,False,,,,,816,24.028,59.93591,119.1667,,,,,,,,
2025-08-06 20:16:42,False,,,,,,,,,814,23.16281,62.30106,64.16666,,,,
2025-08-06 20:16:42,False,,,,,,,,,816,23.1548,62.28885,65,,,,
2025-08-06 20:16:43,False,,,,,,,,,817,23.16014,62.38651,64.16666,,,,
2025-08-06 20:16:44,False,738,20.03052,70.67368,154.1667,,,,,,,,,,,,
2025-08-06 20:16:44,False,739,20.0412,70.68589,155,,,,,,,,,,,,
2025-08-06 20:16:44,False,738,20.0679,70.69047,154.1667,,,,,,,,,,,,
2025-08-06 20:16:45,False,,,,,,,,,,,,,770,19.04784,75.63897,137.5
2025-08-06 20:16:46,False,,,,,816,24.03868,59.93896,119.1667,,,,,,,,
2025-08-06 20:16:52,False,738,20.06256,70.69047,154.1667,,,,,,,,,,,,
2025-08-06 20:16:55,False,,,,,,,,,,,,,771,19.05585,75.66338,138.3333
2025-08-06 20:16:55,False,739,20.05455,70.7454,153.3333,,,,,,,,,,,,
2025-08-06 20:16:55,False,,,,,817,24.04402,59.96643,120,,,,,,,,
2025-08-06 20:16:56,False,,,,,,,,,,,,,772,19.0425,75.66338,137.5
2025-08-06 20:16:57,True,,,,,818,24.05203,59.96948,120,,,,,,,,
2025-08-06 20:17:05,False,,,,,,,,,,,,,773,19.03716,75.73663,137.5
2025-08-06 20:17:06,False,,,,,818,24.07607,59.98322,119.1667,,,,,,,,
2025-08-06 20:17:07,False,,,,,,,,,,,,,775,19.00778,75.82208,137.5
2025-08-06 20:17:07,False,,,,,818,24.08141,59.95575,119.1667,,,,,,,,
2025-08-06 20:17:09,True,739,20.0412,70.74235,153.3333,,,,,,,,,,,,
2025-08-06 20:17:09,True,740,20.03853,70.78813,154.1667,,,,,,,,,,,,
2025-08-06 20:17:10,True,,,,,,,,,819,23.23491,62.27359,64.16666,,,,
2025-08-06 20:17:11,False,740,20.02251,70.83086,154.1667,,,,,,,,,,,,
2025-08-06 20:17:12,False,,,,,,,,,,,,,775,19.01312,75.82208,137.5
2025-08-06 20:17:21,False,739,20.02251,70.81865,154.1667,,,,,,,,,,,,
2025-08-06 20:17:21,False,,,,,,,,,,,,,775,19.01846,75.85718,137.5
2025-08-06 20:17:28,False,740,20.0679,70.8156,153.3333,,,,,,,,,,,,
2025-08-06 20:17:31,False,740,20.05455,70.83543,153.3333,,,,,,,,,,,,
2025-08-06 20:17:33,True,741,20.04387,70.8568,153.3333,,,,,,,,,,,,
2025-08-06 20:17:43,False,744,20.06523,70.83696,153.3333,,,,,,,,,,,,
2025-08-06 20:17:44,False,745,20.05455,70.84764,153.3333,,,,,,,,,,,,
2025-08-06 20:17:45,False,,,,,,,,,,,,,777,18.98642,76.06317,137.5
2025-08-06 20:17:45,False,,,,,820,24.12947,59.93896,120,,,,,,,,
2025-08-06 20:17:45,False,,,,,820,24.14282,59.93134,120,,,,,,,,
2025-08-06 20:17:45,False,,,,,820,24.13214,59.93896,120,,,,,,,,
2025-08-06 20:17:47,False,,,,,,,,,819,23.23758,62.26444,65,,,,
2025-08-06 20:17:47,False,,,,,,,,,819,23.25628,62.25986,65,,,,
2025-08-06 20:17:47,False,,,,,,,,,820,23.28031,62.26596,64.16666,,,,
2025-08-06 20:17:47,False,,,,,,,,,820,23.26963,62.2919,64.16666,,,,
2025-08-06 20:17:49,False,744,20.05989,70.82475,153.3333,,,,,,,,,,,,
2025-08-06 20:17:50,False,,,,,,,,,,,,,776,18.9971,76.06317,137.5
2025-08-06 20:17:58,False,745,20.05188,70.88121,153.3333,,,,,,,,,,,,
2025-08-06 20:17:58,False,,,,,821,24.10544,59.96185,120,,,,,,,,
2025-08-06 20:17:58,False,,,,,,,,,,,,,777,19.00511,76.08606,138.3333
2025-08-06 20:17:58,False,,,,,822,24.11879,59.90845,119.1667,,,,,,,,
2025-08-06 20:18:05,False,746,20.04387,70.91325,154.1667,,,,,,,,,,,,
2025-08-06 20:18:05,False,,,,,,,,,,,,,778,18.99977,76.09979,138.3333
2025-08-06 20:18:06,False,746,20.05722,70.93767,154.1667,,,,,,,,,,,,
2025-08-06 20:18:06,False,,,,,822,24.1268,59.91913,120,,,,,,,,
2025-08-06 20:18:06,False,,,,,,,,,,,,,778,18.98375,76.17303,138.3333
2025-08-06 20:18:07,False,,,,,823,24.15084,59.93286,120,,,,,,,,
2025-08-06 20:18:11,False,746,20.0412,70.98039,154.1667,,,,,,,,,,,,
2025-08-06 20:18:11,True,,,,,,,,,821,23.31769,62.26596,65,,,,
2025-08-06 20:18:11,True,,,,,,,,,822,23.30701,62.25376,64.16666,,,,
2025-08-06 20:18:11,True,,,,,,,,,822,23.30968,62.30259,64.16666,,,,
2025-08-06 20:18:12,True,,,,,,,,,,,,,778,18.99977,76.17151,137.5
2025-08-06 20:18:13,True,,,,,824,24.16686,59.9176,119.1667,,,,,,,,
2025-08-06 20:18:14,True,,,,,,,,,823,23.3257,62.32547,64.16666,,,,
2025-08-06 20:18:16,False,746,20.06256,70.93919,154.1667,,,,,,,,,,,,
2025-08-06 20:18:17,False,,,,,,,,,,,,,777,18.97841,76.20966,138.3333
2025-08-06 20:18:18,True,,,,,824,24.15618,59.87946,119.1667,,,,,,,,
2025-08-06 20:18:20,False,,,,,,,,,824,23.32303,62.33463,64.16666,,,,
2025-08-06 20:18:22,True,746,20.09194,70.89799,155,,,,,,,,,,,,
2025-08-06 20:18:22,False,,,,,,,,,,,,,778,18.97574,76.25697,137.5
2025-08-06 20:18:23,False,,,,,824,24.19356,59.87793,120,,,,,,,,
2025-08-06 20:18:25,False,,,,,,,,,824,23.33639,62.327,64.16666,,,,
2025-08-06 20:18:27,True,750,20.08927,70.86443,154.1667,,,,,,,,,,,,
2025-08-06 20:18:28,True,,,,,,,,,,,,,779,18.98375,76.23254,139.1667
2025-08-06 20:18:29,False,,,,,825,24.20424,59.86114,118.3333,,,,,,,,
2025-08-06 20:18:31,False,,,,,,,,,826,23.33105,62.29801,63.33333,,,,
2025-08-06 20:18:33,False,750,20.05188,70.94835,155,,,,,,,,,,,,
2025-08-06 20:18:33,True,,,,,,,,,,,,,780,18.96506,76.2707,137.5
2025-08-06 20:18:34,True,,,,,827,24.19623,59.85046,119.1667,,,,,,,,
2025-08-06 20:18:36,False,,,,,,,,,826,23.33639,62.34684,64.16666,,,,
2025-08-06 20:18:38,False,751,20.06523,70.96208,154.1667,,,,,,,,,,,,
2025-08-06 20:18:39,False,,,,,,,,,,,,,780,18.95972,76.33173,137.5
2025-08-06 20:18:40,False,,,,,828,24.21492,59.84436,119.1667,,,,,,,,
2025-08-06 20:18:41,True,,,,,,,,,828,23.33372,62.327,64.16666,,,,
2025-08-06 20:18:43,False,751,20.04921,70.99413,155,,,,,,,,,,,,
2025-08-06 20:18:44,False,,,,,,,,,,,,,782,18.95972,76.34241,137.5
2025-08-06 20:18:45,False,,,,,829,24.22026,59.86419,119.1667,,,,,,,,
2025-08-06 20:18:47,False,,,,,,,,,828,23.32837,62.36362,64.16666,,,,
2025-08-06 20:18:49,False,752,20.07057,71.00786,155,,,,,,,,,,,,
2025-08-06 20:18:50,False,,,,,,,,,,,,,782,18.93301,76.38056,137.5
2025-08-06 20:18:50,False,,,,,831,24.22026,59.87335,119.1667,,,,,,,,
2025-08-06 20:18:52,False,,,,,,,,,828,23.32036,62.39109,64.16666,,,,
2025-08-06 20:18:54,False,752,20.04387,71.03838,155,,,,,,,,,,,,
2025-08-06 20:18:55,False,,,,,,,,,,,,,781,18.95972,76.42786,137.5
2025-08-06 20:18:56,False,,,,,831,24.22561,59.84741,119.1667,,,,,,,,
2025-08-06 20:18:58,False,,,,,,,,,828,23.31769,62.42771,64.16666,,,,
2025-08-06 20:19:00,False,756,20.0679,71.03075,155,,,,,,,,,,,,
2025-08-06 20:19:00,False,,,,,,,,,,,,,783,18.95171,76.46449,138.3333
2025-08-06 20:19:01,False,,,,,832,24.2443,59.85046,119.1667,,,,,,,,
2025-08-06 20:19:03,False,,,,,,,,,829,23.33372,62.43229,64.16666,,,,
2025-08-06 20:19:05,False,760,20.08125,71.00938,155,,,,,,,,,,,,
2025-08-06 20:19:06,False,,,,,,,,,,,,,783,18.94904,76.46449,138.3333
2025-08-06 20:19:07,False,,,,,832,24.23896,59.83978,119.1667,,,,,,,,
2025-08-06 20:19:09,False,,,,,,,,,829,23.28565,62.42008,64.16666,,,,
2025-08-06 20:19:11,False,760,20.08125,70.9987,155,,,,,,,,,,,,
2025-08-06 20:19:11,True,,,,,,,,,,,,,784,18.95972,76.46449,138.3333
2025-08-06 20:19:12,True,,,,,832,24.22561,59.81994,119.1667,,,,,,,,
2025-08-06 20:19:14,False,,,,,,,,,831,23.29099,62.50706,65,,,,
2025-08-06 20:19:16,False,760,20.0866,70.95445,155,,,,,,,,,,,,
2025-08-06 20:19:17,False,,,,,,,,,,,,,785,18.99176,76.44923,138.3333
2025-08-06 20:19:18,False,,,,,832,24.271,59.84588,119.1667,,,,,,,,
2025-08-06 20:19:19,False,,,,,,,,,831,23.28298,62.55283,64.16666,,,,
2025-08-06 20:19:21,False,761,20.10262,70.97887,155,,,,,,,,,,,,
2025-08-06 20:19:22,False,,,,,,,,,,,,,785,18.97574,76.43855,137.5
2025-08-06 20:19:23,False,,,,,833,24.271,59.80011,119.1667,,,,,,,,
2025-08-06 20:19:25,False,,,,,,,,,832,23.29633,62.49943,64.16666,,,,
2025-08-06 20:19:27,False,761,20.08393,71.03227,155,,,,,,,,,,,,
2025-08-06 20:19:27,False,,,,,,,,,,,,,787,18.97841,76.45075,138.3333
2025-08-06 20:19:28,False,,,,,834,24.24697,59.79553,119.1667,,,,,,,,
2025-08-06 20:19:30,False,,,,,,,,,832,23.26963,62.50248,64.16666,,,,
2025-08-06 20:19:32,False,761,20.0679,71.06432,155,,,,,,,,,,,,
2025-08-06 20:19:33,False,,,,,,,,,,,,,787,18.99443,76.43702,138.3333
2025-08-06 20:19:34,False,,,,,834,24.2443,59.80468,119.1667,,,,,,,,
2025-08-06 20:19:36,False,,,,,,,,,833,23.28031,62.49485,64.16666,,,,
2025-08-06 20:19:38,False,764,20.03853,71.09331,155,,,,,,,,,,,,
2025-08-06 20:19:38,False,,,,,,,,,,,,,791,18.97574,76.51026,139.1667
2025-08-06 20:19:39,False,,,,,836,24.24163,59.84893,119.1667,,,,,,,,
2025-08-06 20:19:41,False,,,,,,,,,834,23.30167,62.49027,64.16666,,,,
2025-08-06 20:19:43,False,766,20.10529,71.04753,155,,,,,,,,,,,,
2025-08-06 20:19:44,False,,,,,,,,,,,,,791,18.97841,76.52247,138.3333
2025-08-06 20:19:45,False,,,,,840,24.26032,59.84283,119.1667,,,,,,,,
2025-08-06 20:19:46,False,,,,,,,,,836,23.34707,62.46281,64.16666,,,,
2025-08-06 20:19:48,False,767,20.0679,71.06432,155,,,,,,,,,,,,
2025-08-06 20:19:49,False,,,,,,,,,,,,,793,18.925,76.56367,138.3333
2025-08-06 20:19:50,False,,,,,841,24.24163,59.78637,119.1667,,,,,,,,
2025-08-06 20:19:52,False,,,,,,,,,837,23.30434,62.4918,65,,,,
2025-08-06 20:19:54,False,767,20.06523,71.075,155,,,,,,,,,,,,
2025-08-06 20:19:55,False,,,,,,,,,,,,,792,18.97574,76.54688,138.3333
2025-08-06 20:19:56,False,,,,,844,24.25231,59.77874,119.1667,,,,,,,,
2025-08-06 20:19:57,False,,,,,,,,,840,23.30701,62.47349,65,,,,
2025-08-06 20:19:59,False,769,20.09461,71.09026,155,,,,,,,,,,,,
2025-08-06 20:20:00,False,,,,,,,,,,,,,792,18.97841,76.5713,138.3333
2025-08-06 20:20:01,False,,,,,845,24.24163,59.80468,119.1667,,,,,,,,
2025-08-06 20:20:03,False,,,,,,,,,840,23.30968,62.51163,64.16666,,,,
2025-08-06 20:20:05,False,770,20.10262,71.05821,155,,,,,,,,,,,,
2025-08-06 20:20:05,False,,,,,,,,,,,,,793,18.95972,76.59724,138.3333
2025-08-06 20:20:06,False,,,,,846,24.24964,59.81384,119.1667,,,,,,,,
2025-08-06 20:20:08,False,,,,,,,,,842,23.30968,62.54063,64.16666,,,,
2025-08-06 20:20:10,False,772,20.13199,71.02769,155,,,,,,,,,,,,
2025-08-06 20:20:11,False,,,,,,,,,,,,,793,18.95171,76.59724,139.1667
2025-08-06 20:20:12,False,,,,,846,24.26833,59.81842,119.1667,,,,,,,,
2025-08-06 20:20:14,False,,,,,,,,,842,23.31769,62.55131,64.16666,,,,
2025-08-06 20:20:16,False,772,20.11864,70.96971,155,,,,,,,,,,,,
2025-08-06 20:20:16,False,,,,,,,,,,,,,795,18.92233,76.64759,138.3333
2025-08-06 20:20:17,False,,,,,846,24.26833,59.80926,119.1667,,,,,,,,
2025-08-06 20:20:19,False,,,,,,,,,843,23.33639,62.52689,64.16666,,,,
2025-08-06 20:20:21,False,771,20.11864,71.01549,155,,,,,,,,,,,,
2025-08-06 20:20:22,False,,,,,,,,,,,,,798,18.93301,76.6598,138.3333
2025-08-06 20:20:23,False,,,,,847,24.25231,59.80621,119.1667,,,,,,,,
2025-08-06 20:20:24,False,,,,,,,,,843,23.34974,62.52995,64.16666,,,,
2025-08-06 20:20:26,False,772,20.11864,71.03838,155,,,,,,,,,,,,
2025-08-06 20:20:27,False,,,,,,,,,,,,,798,18.94904,76.67048,138.3333
2025-08-06 20:20:28,False,,,,,847,24.22561,59.83825,119.1667,,,,,,,,
2025-08-06 20:20:30,False,,,,,,,,,844,23.33639,62.46128,65,,,,
2025-08-06 20:20:32,False,772,20.10529,71.0811,155,,,,,,,,,,,,
2025-08-06 20:20:32,False,,,,,,,,,,,,,799,18.96773,76.65675,138.3333
2025-08-06 20:20:33,False,,,,,848,24.24697,59.86877,119.1667,,,,,,,,
2025-08-06 20:20:35,False,,,,,,,,,845,23.36042,62.47654,65,,,,
2025-08-06 20:20:37,False,773,20.09194,71.11314,155,,,,,,,,,,,,
2025-08-06 20:20:38,False,,,,,,,,,,,,,800,18.95972,76.66895,139.1667
2025-08-06 20:20:39,False,,,,,849,24.25498,59.84283,119.1667,,,,,,,,
2025-08-06 20:20:41,False,,,,,,,,,847,23.36576,62.42924,64.16666,,,,
2025-08-06 20:20:43,False,774,20.0866,71.10094,155,,,,,,,,,,,,
2025-08-06 20:20:43,False,,,,,,,,,,,,,800,18.9704,76.67963,139.1667
2025-08-06 20:20:44,False,,,,,850,24.25231,59.89624,119.1667,,,,,,,,
2025-08-06 20:20:46,False,,,,,,,,,849,23.38178,62.41398,64.16666,,,,
2025-08-06 20:20:48,False,775,20.10796,71.12688,155,,,,,,,,,,,,
2025-08-06 20:20:49,False,,,,,,,,,,,,,800,18.9704,76.67963,138.3333
2025-08-06 20:20:50,False,,,,,851,24.21759,59.86419,119.1667,,,,,,,,
2025-08-06 20:20:53,False,,,,,,,,,849,23.38979,62.3682,64.16666,,,,
2025-08-06 20:20:53,False,775,20.1133,71.12688,155,,,,,,,,,,,,
2025-08-06 20:20:54,False,,,,,,,,,,,,,801,18.9971,76.6659,138.3333
2025-08-06 20:20:55,False,,,,,851,24.23362,59.87487,119.1667,,,,,,,,
2025-08-06 20:20:57,False,,,,,,,,,850,23.38712,62.4155,64.16666,,,,
2025-08-06 20:20:59,False,776,20.09461,71.14671,155,,,,,,,,,,,,
2025-08-06 20:21:00,False,,,,,,,,,,,,,805,18.97307,76.66743,138.3333
2025-08-06 20:21:01,False,,,,,852,24.23896,59.88556,119.1667,,,,,,,,
