timestamp,Label_Total_People,Label_Living_Count,Label_Living_Action,Label_Kitchen_Count,Label_Kitchen_Action,Label_Entrance_Count,Label_Entrance_Action,Label_Toilet1F_Count,Label_Toilet1F_Action,Label_Washroom_Count,Label_Washroom_Action,Label_Japanese_Count,Label_Japanese_Action,Label_Master_Count,Label_Master_Action,Label_Toilet2F_Count,Label_Toilet2F_Action,Label_West1_Count,Label_West1_Action,Label_West2_Count,Label_West2_Action,Label_Spare_Count,Label_Spare_Action,Label_Hall_Count,Label_Hall_Action,PIR1_motion,PIR2_motion,PIR3_motion,PIR4_motion,PIR18_motion,PIR13_motion,PIR11_motion,PIR5_motion,PIR21_motion,PIR17_motion,PIR6_motion,PIR8_motion,PIR9_motion,PIR10_motion,PIR15_motion,PIR19_motion,PIR20_motion,PIR22_motion,PIR24_motion,M5Stack1_co2,M5Stack1_temp,M5Stack1_hum,M5Stack1_pm2_5,M5Stack1_voc,M5Stack2_co2,M5Stack2_temp,M5Stack2_hum,M5Stack2_pm2_5,M5Stack2_voc,M5Stack3_co2,M5Stack3_temp,M5Stack3_hum,M5Stack3_pm2_5,M5Stack3_voc,M5Stack4_co2,M5Stack4_temp,M5Stack4_hum,M5Stack4_pm2_5,M5Stack4_voc,M5Stack5_co2,M5Stack5_temp,M5Stack5_hum,M5Stack5_pm2_5,M5Stack5_voc,M5Stack6_co2,M5Stack6_temp,M5Stack6_hum,M5Stack6_pm2_5,M5Stack6_voc,M5Stack8_co2,M5Stack8_temp,M5Stack8_hum,M5Stack8_pm2_5,M5Stack8_voc,M5Stack10_co2,M5Stack10_temp,M5Stack10_hum,M5Stack10_pm2_5,M5Stack10_voc,C0A8033B-013501_opStatus,C0A8033B-013501_temp,C0A8033B-013501_hum,C0A8033B-013501_pm25,C0A8033B-013501_gas,C0A8033B-013501_illuminance,C0A8033B-013501_dust,C0A8033B-013501_power,C0A8033B-013501_flow,C0A8033B-013501_odor,C0A8033B-013501_dirt,C0A8033E-013501_opStatus,C0A8033E-013501_temp,C0A8033E-013501_hum,C0A8033E-013501_pm25,C0A8033E-013501_gas,C0A8033E-013501_illuminance,C0A8033E-013501_dust,C0A8033E-013501_power,C0A8033E-013501_flow,C0A8033E-013501_odor,C0A8033E-013501_dirt,C0A80341-013501_opStatus,C0A80341-013501_temp,C0A80341-013501_hum,C0A80341-013501_pm25,C0A80341-013501_gas,C0A80341-013501_illuminance,C0A80341-013501_dust,C0A80341-013501_power,C0A80341-013501_flow,C0A80341-013501_odor,C0A80341-013501_dirt,C0A8033D-013501_opStatus,C0A8033D-013501_temp,C0A8033D-013501_hum,C0A8033D-013501_pm25,C0A8033D-013501_gas,C0A8033D-013501_illuminance,C0A8033D-013501_dust,C0A8033D-013501_power,C0A8033D-013501_flow,C0A8033D-013501_odor,C0A8033D-013501_dirt,C0A8033C-013501_opStatus,C0A8033C-013501_temp,C0A8033C-013501_hum,C0A8033C-013501_pm25,C0A8033C-013501_gas,C0A8033C-013501_illuminance,C0A8033C-013501_dust,C0A8033C-013501_power,C0A8033C-013501_flow,C0A8033C-013501_odor,C0A8033C-013501_dirt,C0A80342-013501_opStatus,C0A80342-013501_temp,C0A80342-013501_hum,C0A80342-013501_pm25,C0A80342-013501_gas,C0A80342-013501_illuminance,C0A80342-013501_dust,C0A80342-013501_power,C0A80342-013501_flow,C0A80342-013501_odor,C0A80342-013501_dirt,C0A80343-013501_opStatus,C0A80343-013501_temp,C0A80343-013501_hum,C0A80343-013501_pm25,C0A80343-013501_gas,C0A80343-013501_illuminance,C0A80343-013501_dust,C0A80343-013501_power,C0A80343-013501_flow,C0A80343-013501_odor,C0A80343-013501_dirt,C0A80344-013501_opStatus,C0A80344-013501_temp,C0A80344-013501_hum,C0A80344-013501_pm25,C0A80344-013501_gas,C0A80344-013501_illuminance,C0A80344-013501_dust,C0A80344-013501_power,C0A80344-013501_flow,C0A80344-013501_odor,C0A80344-013501_dirt,C0A80367-013001_opStatus,C0A80367-013001_mode,C0A80367-013001_setTemp,C0A80367-013001_roomTemp,C0A80367-013001_hum,C0A80367-013001_outsideTemp,C0A80367-013001_blowTemp,C0A80367-013001_power,C0A80367-013001_totalPower,C0A80367-013001_flow,C0A80367-013001_human,C0A80367-013001_sunshine,C0A80367-013001_co2,C0A80368-013001_opStatus,C0A80368-013001_mode,C0A80368-013001_setTemp,C0A80368-013001_roomTemp,C0A80368-013001_hum,C0A80368-013001_outsideTemp,C0A80368-013001_blowTemp,C0A80368-013001_power,C0A80368-013001_totalPower,C0A80368-013001_flow,C0A80368-013001_human,C0A80368-013001_sunshine,C0A80368-013001_co2
2026-01-07T19:56:17.285057,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,414,18.36,32.92,0.5,86,400,20.855,30.63,0.4,92,427,14.525,43.82,0.2,146,,,,,,417,19.12,37.18,0.3,128,402,23.61,29.17,0.9,103,415,17.65,34.79,0.8,101,422,19.915,33.56,0.4,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,28,0,100,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,,,,,,,,,,,,17,35,0,100,0,0,,,,,,,,,,,,,,,,,465,,,,,,,,,,,,,473
2026-01-07T19:56:27.292316,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,414,22.10269,30.12589,0.5,86,400,20.855,30.61,0.4,92,428,14.525,43.83,0.2,146,,,,,,417,19.12,37.19,0.4,128,403,23.61,29.19,0.8,103,417,17.65,34.79,0.8,101,422,19.915,33.54,0.3,107,,,,,,,,,,,,,,,,,,,,,,,,16,33,0,97,0,0,,,,,,21,28,0,97,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,97,0,0,,,,,,,,,,,,,,,,,464,,,,,,,,,,,,,472
2026-01-07T19:56:37.299185,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,415,22.10269,30.08621,0.5,86,400,20.855,30.63,0.4,92,430,18.682,36.9894,0.3,146,,,,,,417,19.115,37.18,0.4,128,402,23.61,29.22,0.7,103,417,17.65,34.79,1,101,422,19.915,33.54,0.3,107,,16,36,0,100,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,100,0,0,,,,,,21,28,0,100,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,100,0,0,,,,,,,,,,,,,,,,,464,,,,,,,,,,,,,473
2026-01-07T19:56:47.303920,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,415,18.355,32.97,0.5,86,400,20.85,30.63,0.3,92,430,18.682,36.9894,0.2,146,,,,,,417,19.115,37.18,0.4,128,402,27.07752,28.73732,0.5,103,418,17.65,34.79,1.2,101,423,19.91,33.56,0.2,107,,16,36,0,100,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,100,0,0,,,,,,21,28,0,97,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,97,0,0,,,,,,,,,,,,,,,,,465,,,,,,,,,,,,,474
2026-01-07T19:56:57.309974,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,415,18.355,33.01,0.4,86,400,20.85,30.65,0.5,92,430,14.525,43.82,0.2,146,,,,,,418,19.115,37.18,0.4,128,402,23.605,29.13,0.9,103,419,17.645,34.78,1.1,101,424,19.91,33.56,0.4,107,,16,36,0,100,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,100,0,0,,,,,,21,28,0,97,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,97,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,97,0,0,,,,,,,,,,,,,,,,,465,,,,,,,,,,,,,474
2026-01-07T19:57:07.312012,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,415,18.35,33.04,0.4,86,400,20.85,30.64,0.6,92,430,14.525,43.84,0.2,146,,,,,,418,19.115,37.17,0.3,128,402,23.605,29.13,0.8,103,419,17.645,34.79,0.9,101,423,19.905,33.55,0.5,107,,16,36,0,97,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,97,0,0,,,,,,21,28,0,97,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,97,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,97,0,0,,,,,,,,,,15,0,,,,False,0,465,,,,,,15.5,0,,,,False,0,474
2026-01-07T19:57:17.316647,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,414,18.35,33.04,0.4,86,400,20.85,30.62,0.7,92,430,14.525,43.84,0.2,146,,,,,,418,23.03998,30.96819,0.3,128,401,23.605,29.16,0.7,103,419,17.645,34.79,1.1,101,423,19.905,33.54,0.5,107,,16,36,0,100,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,100,0,0,,,,,,21,28,0,97,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,97,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,97,0,0,,,,,,,,,,15,0,,,,False,0,464,,,,,,15.5,0,,,,False,0,474
2026-01-07T19:57:27.327748,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,414,18.35,33.01,0.4,86,400,20.845,30.62,0.6,92,430,14.525,43.83,0.3,146,,,,,,418,19.115,37.17,0.4,128,402,23.6,29.11,0.7,103,421,17.645,34.78,1.1,101,422,23.00793,31.30999,0.5,107,,16,36,0,100,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,100,0,0,,,,,,21,28,0,100,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,100,0,0,,,,,,,,,,15,0,,,,False,0,464,,,,,,15.5,0,,,,False,0,475
2026-01-07T19:57:37.339093,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,414,18.35,33.05,0.4,86,399,20.845,30.63,0.6,92,429,14.525,43.82,0.3,146,,,,,,418,19.115,37.18,0.4,128,402,23.6,29.08,0.9,103,421,17.645,34.78,1,101,422,22.98924,31.37102,0.3,107,,16,36,0,100,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,97,0,0,,,,,,21,28,0,97,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,100,0,0,,,,,,,,,,15,0,,,,False,0,464,,,,,,15.5,0,,,,False,0,475
2026-01-07T19:57:47.342541,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,413,18.345,33.05,0.5,86,399,20.845,30.62,0.5,92,428,14.525,43.82,0.4,145,,,,,,418,19.115,37.18,0.4,128,402,23.6,29.03,1.1,103,422,17.645,34.77,1,101,423,19.905,33.56,0.2,107,,16,36,0,100,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,97,0,0,,,,,,21,28,0,100,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,97,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,100,0,0,,,,,,,,,,15,0,,,,False,0,466,,,,,,15.5,0,,,,False,0,476
2026-01-07T19:57:57.350110,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,414,18.345,33.03,0.6,86,399,20.845,30.62,0.7,92,428,14.525,43.83,0.3,145,,,,,,418,19.11,37.18,0.4,127,401,23.595,29.04,1,103,422,21.81163,30.82475,1,101,424,19.905,33.56,0.3,107,,16,36,0,100,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,100,0,0,,,,,,21,28,0,97,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,97,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,100,0,0,,,,,,,,,,15,0,,,,False,0,465,,,,,,15.5,0,,,,False,0,476
2026-01-07T19:58:07.355612,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,414,18.34,33,0.7,86,398,20.845,30.64,0.6,92,427,18.69268,36.9894,0.2,145,,,,,,418,19.11,37.18,0.4,127,401,23.595,29.08,1.1,103,421,21.81163,30.83391,0.8,101,424,23.0106,31.3344,0.3,107,,16,36,0,97,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,100,0,0,,,,,,21,28,0,97,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,100,0,0,,,,,,,,,,15,0,,,,False,0,465,,,,,,15.5,0,,,,False,0,476
2026-01-07T19:58:17.366759,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,414,18.34,33.01,0.5,86,399,24.63684,29.7322,0.6,92,427,18.67132,37.00008,0.2,145,,,,,,417,19.11,37.17,0.4,127,401,23.59,29.08,1.1,103,421,17.64,34.8,0.8,101,424,19.9,33.57,0.4,107,,16,36,0,100,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,97,0,0,,,,,,21,28,0,100,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,97,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,100,0,0,,,,,,,,,,15,0,,,,False,0,466,,,,,,15.5,0,,,,False,0,476
2026-01-07T19:58:27.377102,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,413,18.34,32.95,0.4,86,399,20.84,30.63,0.5,92,428,14.525,43.82,0.1,145,,,,,,417,19.11,37.17,0.3,127,402,27.07752,28.67475,0.9,103,420,17.64,30.88731,0.7,101,426,19.9,33.56,0.4,107,,16,36,0,100,0,0,,,,,,15,41,0,97,0,0,,,,,,16,33,0,100,0,0,,,,,,21,28,0,97,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,100,0,0,,,,,,,,,,15,0,,,,False,0,465,,,,,,15.5,0,,,,False,0,476
2026-01-07T19:58:37.385938,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,413,18.34,32.92,0.4,86,398,20.84,30.62,0.6,92,429,14.525,43.79,0.1,145,,,,,,417,23.02129,30.93004,0.2,127,403,27.07485,28.67933,0.8,103,420,17.64,34.81,0.7,101,426,19.9,33.57,0.4,107,,16,36,0,97,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,100,0,0,,,,,,21,28,0,100,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,100,0,0,,,,,,,,,,15,0,,,,False,0,464,,,,,,15.5,0,,,,False,0,477
2026-01-07T19:58:47.396812,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,413,18.34,32.91,0.3,86,399,20.84,30.63,0.6,92,428,14.525,43.81,0.1,145,,,,,,417,19.11,37.17,0.3,127,403,27.04547,28.70222,0.9,103,418,17.635,34.8,0.8,101,426,19.9,33.56,0.3,107,,16,36,0,97,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,97,0,0,,,,,,21,28,0,97,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,100,0,0,,,,,,,,,,15,0,,,,False,0,465,,,,,,15.5,0,,,,False,0,477
2026-01-07T19:58:57.407816,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,413,18.34,32.91,0.3,86,399,20.84,30.64,0.5,92,428,14.525,43.82,0.2,145,,,,,,418,19.11,37.17,0.3,127,403,23.585,29.05,0.8,103,419,17.635,34.8,0.8,101,426,19.9,33.55,0.3,107,,16,36,0,100,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,97,0,0,,,,,,21,28,0,97,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,100,0,0,,,,,,,,,,15,0,,,,False,0,464,,,,,,15.5,0,,,,False,0,477
2026-01-07T19:59:07.411568,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,413,18.335,32.91,0.6,86,400,20.84,30.64,0.6,92,427,14.52,43.83,0.2,145,421,24.43,26.77,0.1,153,417,19.11,37.18,0.3,127,404,23.585,29.12,0.7,103,419,17.635,34.8,0.8,101,427,19.895,33.55,0.3,107,,16,36,0,100,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,97,0,0,,,,,,21,28,0,100,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,97,0,0,,,,,,,,16,,15,0,,,,False,0,464,,,,,,15.5,0,,,,False,0,476
2026-01-07T19:59:17.420874,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,412,22.09468,30.08774,0.6,86,399,20.84,30.62,0.7,92,427,14.52,43.82,0.2,145,421,24.43,26.77,0.1,153,417,19.11,37.18,0.3,127,404,23.58,29.12,0.7,103,419,17.635,34.81,0.7,101,426,19.895,33.56,0.3,107,,16,36,0,100,0,0,,,,,,15,41,0,100,0,0,,,,,,16,33,0,97,0,0,,,,,,21,28,0,97,0,0,,,,,,18,33,0,100,2,0,,,,,,17,36,0,97,0,0,,,,,,24,24,0,97,0,0,,,,,,17,35,0,100,0,0,,,,,,,,16,,15,0,,,,False,0,464,,,,,,15.5,0,,,,False,0,477
