timestamp,Label_Total_People,Label_Living_Count,Label_Living_Action,Label_Kitchen_Count,Label_Kitchen_Action,Label_Entrance_Count,Label_Entrance_Action,Label_Toilet1F_Count,Label_Toilet1F_Action,Label_Washroom_Count,Label_Washroom_Action,Label_Japanese_Count,Label_Japanese_Action,Label_Master_Count,Label_Master_Action,Label_Toilet2F_Count,Label_Toilet2F_Action,Label_West1_Count,Label_West1_Action,Label_West2_Count,Label_West2_Action,Label_Spare_Count,Label_Spare_Action,Label_Hall_Count,Label_Hall_Action,PIR1_motion,PIR2_motion,PIR3_motion,PIR4_motion,PIR18_motion,PIR13_motion,PIR11_motion,PIR5_motion,PIR21_motion,PIR17_motion,PIR6_motion,PIR8_motion,PIR9_motion,PIR10_motion,PIR15_motion,PIR19_motion,PIR20_motion,PIR22_motion,PIR24_motion,M5Stack1_co2,M5Stack1_temp,M5Stack1_hum,M5Stack1_pm2_5,M5Stack1_voc,M5Stack2_co2,M5Stack2_temp,M5Stack2_hum,M5Stack2_pm2_5,M5Stack2_voc,M5Stack3_co2,M5Stack3_temp,M5Stack3_hum,M5Stack3_pm2_5,M5Stack3_voc,M5Stack4_co2,M5Stack4_temp,M5Stack4_hum,M5Stack4_pm2_5,M5Stack4_voc,M5Stack5_co2,M5Stack5_temp,M5Stack5_hum,M5Stack5_pm2_5,M5Stack5_voc,M5Stack6_co2,M5Stack6_temp,M5Stack6_hum,M5Stack6_pm2_5,M5Stack6_voc,M5Stack8_co2,M5Stack8_temp,M5Stack8_hum,M5Stack8_pm2_5,M5Stack8_voc,M5Stack10_co2,M5Stack10_temp,M5Stack10_hum,M5Stack10_pm2_5,M5Stack10_voc,C0A8033B-013501_opStatus,C0A8033B-013501_temp,C0A8033B-013501_hum,C0A8033B-013501_pm25,C0A8033B-013501_gas,C0A8033B-013501_illuminance,C0A8033B-013501_dust,C0A8033B-013501_power,C0A8033B-013501_flow,C0A8033B-013501_odor,C0A8033B-013501_dirt,C0A8033E-013501_opStatus,C0A8033E-013501_temp,C0A8033E-013501_hum,C0A8033E-013501_pm25,C0A8033E-013501_gas,C0A8033E-013501_illuminance,C0A8033E-013501_dust,C0A8033E-013501_power,C0A8033E-013501_flow,C0A8033E-013501_odor,C0A8033E-013501_dirt,C0A80341-013501_opStatus,C0A80341-013501_temp,C0A80341-013501_hum,C0A80341-013501_pm25,C0A80341-013501_gas,C0A80341-013501_illuminance,C0A80341-013501_dust,C0A80341-013501_power,C0A80341-013501_flow,C0A80341-013501_odor,C0A80341-013501_dirt,C0A8033D-013501_opStatus,C0A8033D-013501_temp,C0A8033D-013501_hum,C0A8033D-013501_pm25,C0A8033D-013501_gas,C0A8033D-013501_illuminance,C0A8033D-013501_dust,C0A8033D-013501_power,C0A8033D-013501_flow,C0A8033D-013501_odor,C0A8033D-013501_dirt,C0A8033C-013501_opStatus,C0A8033C-013501_temp,C0A8033C-013501_hum,C0A8033C-013501_pm25,C0A8033C-013501_gas,C0A8033C-013501_illuminance,C0A8033C-013501_dust,C0A8033C-013501_power,C0A8033C-013501_flow,C0A8033C-013501_odor,C0A8033C-013501_dirt,C0A80342-013501_opStatus,C0A80342-013501_temp,C0A80342-013501_hum,C0A80342-013501_pm25,C0A80342-013501_gas,C0A80342-013501_illuminance,C0A80342-013501_dust,C0A80342-013501_power,C0A80342-013501_flow,C0A80342-013501_odor,C0A80342-013501_dirt,C0A80343-013501_opStatus,C0A80343-013501_temp,C0A80343-013501_hum,C0A80343-013501_pm25,C0A80343-013501_gas,C0A80343-013501_illuminance,C0A80343-013501_dust,C0A80343-013501_power,C0A80343-013501_flow,C0A80343-013501_odor,C0A80343-013501_dirt,C0A80344-013501_opStatus,C0A80344-013501_temp,C0A80344-013501_hum,C0A80344-013501_pm25,C0A80344-013501_gas,C0A80344-013501_illuminance,C0A80344-013501_dust,C0A80344-013501_power,C0A80344-013501_flow,C0A80344-013501_odor,C0A80344-013501_dirt,C0A80367-013001_opStatus,C0A80367-013001_mode,C0A80367-013001_setTemp,C0A80367-013001_roomTemp,C0A80367-013001_hum,C0A80367-013001_outsideTemp,C0A80367-013001_blowTemp,C0A80367-013001_power,C0A80367-013001_totalPower,C0A80367-013001_flow,C0A80367-013001_human,C0A80367-013001_sunshine,C0A80367-013001_co2,C0A80368-013001_opStatus,C0A80368-013001_mode,C0A80368-013001_setTemp,C0A80368-013001_roomTemp,C0A80368-013001_hum,C0A80368-013001_outsideTemp,C0A80368-013001_blowTemp,C0A80368-013001_power,C0A80368-013001_totalPower,C0A80368-013001_flow,C0A80368-013001_human,C0A80368-013001_sunshine,C0A80368-013001_co2
2025-12-16T23:46:31.292013,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,464,24.38582,32.58411,0.5,169,512,18.885,36.39,0.5,120,421,15.62,44.57,0.2,99,451,25.21897,29.0898,0.1,109,451,23.20287,32.13855,0.5,96,427,17.595,39.22,0.4,66,465,21.0132,33.80331,1.7,98,465,19.08,35.83,0.4,63,,,,,,,,,,,,,16,41,0,100,0,0,,,,,,,,,,,,,,,,,19,31,0,97,0,0,,,,,,18,36,0,100,2,0,,,,,,,,,,,,,,,,,17,36,0,97,0,0,,,,,,16,38,0,100,0,0,,,,,,,,,,18.75,0,87,,,True,0,503,,,,,,18.5,0,372,43.887,,True,0,462
2025-12-16T23:46:41.295604,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,464,24.43122,32.61158,0.5,169,512,18.885,36.4,0.4,120,422,15.62,44.57,0.2,99,451,22.63,30.45,0,109,451,19.24,38.99,0.4,96,427,17.595,39.21,0.3,66,465,16.9,39.25,1.6,99,465,19.08,35.84,0.3,64,,16,39,0,97,85,0,,,,,,16,41,0,100,0,0,,,,,,23,29,0,100,0,0,,,,,,19,31,0,97,0,0,,,,,,18,36,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,17,36,0,97,0,0,,,,,,16,38,0,100,0,0,,,,,,,,,,18.75,0,156,,,True,0,504,,,,,,18.5,0,444,43.888,,True,0,463
2025-12-16T23:46:51.297180,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,465,20.645,35.37,0.5,170,512,18.885,36.39,0.5,120,421,15.62,44.59,0.2,99,451,22.63,30.47,0.4,109,451,19.24,38.96,0.4,96,427,17.595,39.23,0.3,66,465,16.9,39.24,1.3,99,466,19.08,35.82,0.3,64,,16,39,0,97,85,0,,,,,,16,41,0,100,0,0,,,,,,23,29,0,100,0,0,,,,,,19,31,0,97,0,0,,,,,,18,36,0,100,3,0,,,,,,17,36,0,100,0,0,,,,,,17,36,0,100,0,0,,,,,,16,38,0,100,0,0,,,,,,,,,,18.75,0,195,81.246,,True,0,505,,,,,,18.5,0,462,43.889,,True,0,463
2025-12-16T23:47:01.301713,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,463,20.695,35.31,0.5,171,513,18.89,36.42,0.5,120,421,15.62,44.58,0.2,99,451,22.63,30.46,0.3,109,451,19.24,38.97,0.4,96,427,17.595,39.24,0.3,66,466,16.9,39.24,1.2,99,465,19.08,35.83,0.2,64,,16,39,0,97,85,0,,,,,,16,41,0,97,0,0,,,,,,23,29,0,100,0,0,,,,,,19,31,0,97,0,0,,,,,,18,36,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,17,36,0,97,0,0,,,,,,16,38,0,100,0,0,,,,,,,,,,18.75,0,225,81.246,,True,0,505,,,,,,18.5,0,465,43.89,,True,0,464
2025-12-16T23:47:11.307482,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,463,20.74,35.24,0.5,173,513,18.89,36.43,0.5,120,421,15.62,44.59,0.2,99,450,22.63,30.45,0.3,109,451,19.235,38.96,0.5,96,427,17.595,39.24,0.3,66,466,16.9,39.28,1.6,99,466,22.34035,32.48188,0.2,64,,16,39,0,100,85,0,,,,,,16,41,0,100,0,0,,,,,,23,29,0,100,0,0,,,,,,19,31,0,97,0,0,,,,,,18,36,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,17,36,0,100,0,0,,,,,,16,38,0,100,0,0,,,,,,,,,,18.75,0,266,81.247,,True,0,505,,,,,,18.5,0,470,43.892,,True,0,464
2025-12-16T23:47:21.310027,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,463,20.79,35.18,0.6,173,514,22.55932,33.373,0.6,120,420,19.65934,37.61349,0.2,99,450,22.63,30.45,0.2,109,451,19.235,38.96,0.4,96,427,17.595,39.25,0.3,66,470,16.905,39.3,1.7,99,467,22.35103,32.4651,0.3,64,,16,39,0,97,85,0,,,,,,16,41,0,97,0,0,,,,,,23,29,0,100,0,0,,,,,,19,31,0,97,0,0,,,,,,18,36,0,100,3,0,,,,,,17,36,0,100,0,0,,,,,,17,36,0,100,0,0,,,,,,16,38,0,100,0,0,,,,,,,,,,18.75,0,298,81.248,,True,0,506,,,,,,18.5,0,469,43.893,,True,0,464
2025-12-16T23:47:31.315288,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,462,20.83,35.12,0.5,174,514,18.89,36.46,0.8,120,419,19.64332,37.60128,0.2,99,449,22.63,30.46,0.3,109,450,19.235,38.97,0.3,96,427,17.595,39.22,0.3,66,471,16.905,39.32,1.7,99,467,19.08,35.84,0.2,64,,16,39,0,97,85,0,,,,,,16,41,0,100,0,0,,,,,,23,29,0,100,0,0,,,,,,19,31,0,97,0,0,,,,,,18,36,0,100,3,0,,,,,,17,36,0,100,0,0,,,,,,17,36,0,100,0,0,,,,,,16,38,0,100,0,0,,,,,,,,,,18.75,0,313,81.249,,True,0,508,,,,,,18.5,0,472,43.894,,True,0,464
2025-12-16T23:47:41.321754,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,463,20.875,35.05,0.4,174,515,18.895,36.43,0.7,120,419,15.62,44.59,0.2,99,449,25.22965,29.03029,0.2,109,451,23.20287,32.16602,0.3,96,428,17.595,39.16,0.5,66,471,16.905,39.37,1.5,99,466,19.08,35.84,0.2,64,,16,39,0,97,85,0,,,,,,16,41,0,100,0,0,,,,,,23,29,0,100,0,0,,,,,,19,31,0,97,0,0,,,,,,18,36,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,17,36,0,97,0,0,,,,,,16,38,0,100,0,0,,,,,,,,,,18.75,0,320,81.25,,True,0,507,,,,,,18.5,0,473,43.896,,True,0,465
2025-12-16T23:47:51.323533,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,465,20.915,35,0.3,174,516,18.895,36.43,0.5,120,419,15.62,44.59,0.2,99,449,22.63,30.44,0.1,109,452,19.235,38.98,0.4,96,428,17.595,39.16,0.5,66,472,16.91,39.36,1.4,99,466,19.08,35.83,0.2,64,,16,39,0,97,85,0,,,,,,16,41,0,97,0,0,,,,,,23,29,0,100,0,0,,,,,,19,31,0,97,0,0,,,,,,18,36,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,17,36,0,97,0,0,,,,,,16,38,0,100,0,0,,,,,,,,,,18.75,0,354,81.25,,True,0,509,,,,,,18.5,0,473,43.896,,True,0,465
2025-12-16T23:48:01.324856,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,466,20.95,34.97,0.3,174,519,18.895,36.47,0.6,120,420,15.62,44.59,0.2,99,451,22.63,30.44,0.1,109,452,19.235,38.98,0.3,96,428,17.59,39.21,0.5,66,472,16.91,39.36,1.6,99,467,19.08,35.83,0.3,64,,16,39,0,97,85,0,,,,,,16,41,0,100,0,0,,,,,,23,29,0,100,0,0,,,,,,19,31,0,97,0,0,,,,,,18,36,0,100,2,0,,,,,,17,36,0,100,0,0,,,,,,17,36,0,97,0,0,,,,,,16,38,0,100,0,0,,,,,,,,,,18.75,0,588,81.252,,True,0,512,,,,,,18.5,0,473,43.898,,True,0,466
